,City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind Speed
248,kasongo-lunda,62,GE,1561518857,94,43.53,41.75,292.215,1.0
249,kasongo-lunda,0,BR,1561518861,88,-48.67,-28.24,292.15,1.5
250,kasongo-lunda,90,CA,1561518589,93,-74.86,49.78,288.15,4.1
251,kasongo-lunda,90,NP,1561518864,71,82.18,29.28,290.715,1.37
252,kasongo-lunda,0,MG,1561518866,94,47.83,-22.82,289.015,1.64
253,kasongo-lunda,0,BR,1561518869,88,-60.67,2.82,298.15,2.6
254,kasongo-lunda,75,VU,1561518619,69,169.27,-19.55,301.15,6.2
255,kasongo-lunda,0,TL,1561518599,39,125.41,-8.93,301.515,1.0
256,kasongo-lunda,0,NZ,1561518571,52,169.85,-46.28,283.71,4.47
257,kasongo-lunda,75,US,1561518778,35,-120.28,47.43,298.15,6.7
258,kasongo-lunda,100,BR,1561518877,94,-53.06,-25.75,288.715,3.03
259,kasongo-lunda,0,AU,1561518720,62,147.37,-35.12,288.71,3.1
260,kasongo-lunda,40,TH,1561518880,94,99.52,7.42,298.15,2.6
261,kasongo-lunda,40,JP,1561518881,54,145.57,43.32,299.15,4.1
262,kasongo-lunda,76,GQ,1561518884,99,10.77,1.87,292.015,0.65
263,kasongo-lunda,0,NO,1561518886,76,29.72,70.63,283.15,1.0
264,kasongo-lunda,90,US,1561518429,77,-120.46,34.64,291.48,4.1
265,kasongo-lunda,83,PG,1561518889,71,141.3,-6.12,301.415,2.26
266,kasongo-lunda,0,RU,1561518891,29,111.51,65.95,299.15,2.0
267,kasongo-lunda,18,KZ,1561518892,49,51.68,43.18,301.715,3.98
268,kasongo-lunda,0,AU,1561518895,56,135.86,-34.72,288.415,7.68
269,kasongo-lunda,0,TC,1561518608,79,-71.14,21.46,300.315,6.82
270,kasongo-lunda,100,GB,1561518899,100,-0.72,52.52,287.59,5.7
271,kasongo-lunda,44,RU,1561518900,71,50.85,58.84,283.915,1.95
272,kasongo-lunda,100,YE,1561518610,50,45.03,12.79,305.115,3.64
273,kasongo-lunda,0,BS,1561518837,70,-77.06,26.54,302.515,1.71
274,kasongo-lunda,15,MZ,1561518909,83,40.52,-12.97,295.115,8.21
275,kasongo-lunda,90,US,1561518863,82,-118.37,33.75,293.15,3.6
276,kasongo-lunda,40,KH,1561518870,88,104.18,10.62,302.15,1.0
277,kasongo-lunda,75,CN,1561518634,24,93.51,42.84,298.415,3.59
278,kasongo-lunda,20,JM,1561518917,65,-76.27,17.93,301.15,3.6
279,kasongo-lunda,100,ID,1561518678,82,132.75,-5.67,299.115,10.96
280,kasongo-lunda,81,BT,1561518922,98,91.87,27.59,288.415,1.82
281,kasongo-lunda,96,ID,1561518605,88,122.88,-0.91,293.715,2.37
282,kasongo-lunda,0,IN,1561518885,92,77.19,32.25,273.615,1.24
283,kasongo-lunda,75,PT,1561518683,82,-25.58,37.8,291.15,4.1
284,kasongo-lunda,0,RU,1561518928,68,84.89,55.79,295.37,2.0
285,kasongo-lunda,75,MX,1561518662,62,-105.21,20.71,303.15,3.1
286,kasongo-lunda,100,YE,1561518932,52,44.32,15.17,297.115,0.5
287,kasongo-lunda,0,ID,1561518544,76,118.97,-3.54,300.415,10.95
288,kasongo-lunda,20,US,1561518935,63,-122.67,45.52,293.15,3.6
289,kasongo-lunda,75,MU,1561518590,83,57.76,-20.34,297.15,6.7
290,kasongo-lunda,0,AU,1561518588,17,139.49,-20.73,295.15,6.7
291,kasongo-lunda,40,CL,1561518939,87,-70.4,-23.65,286.15,4.1
292,kasongo-lunda,90,US,1561518942,82,-119.2,34.15,292.04,2.6
293,kasongo-lunda,0,FI,1561518945,100,29.36,62.78,284.26,0.31
294,kasongo-lunda,0,RU,1561518946,82,36.72,45.22,293.71,4.0
295,kasongo-lunda,75,US,1561518656,94,-89.47,32.36,295.37,0.29
296,kasongo-lunda,0,ZM,1561518948,66,27.06,-14.99,286.715,3.23
297,kasongo-lunda,90,GB,1561518840,100,-0.18,52.33,287.59,5.1
298,kasongo-lunda,97,MN,1561518954,57,92.07,50.73,279.915,2.71
299,kasongo-lunda,100,NO,1561518959,81,16.17,68.77,282.59,10.3
300,kasongo-lunda,50,MA,1561518960,94,-9.73,29.7,292.715,0.83
301,kasongo-lunda,75,NO,1561518590,75,15.63,78.22,278.15,3.1
302,kasongo-lunda,0,SA,1561518963,26,44.22,17.54,299.15,1.05
303,kasongo-lunda,1,US,1561518965,36,-107.32,38.03,291.15,2.6
304,kasongo-lunda,0,OM,1561518967,62,59.53,22.57,302.515,3.56
305,kasongo-lunda,1,US,1561518584,78,-94.76,39.95,299.15,2.6
306,kasongo-lunda,100,GF,1561518512,80,-52.96,5.38,300.415,5.9
307,kasongo-lunda,0,MX,1561518973,55,-109.39,26.8,304.26,2.85
308,kasongo-lunda,79,NO,1561518974,94,12.38,64.25,279.215,1.16
309,kasongo-lunda,0,BR,1561518582,94,-40.84,-2.9,295.015,2.67
310,kasongo-lunda,0,ZA,1561518380,34,22.13,-30.97,279.415,4.68
311,kasongo-lunda,100,IN,1561518637,91,90.21,25.52,299.815,5.1
312,kasongo-lunda,1,US,1561518748,53,-93.1,44.95,296.15,2.1
313,kasongo-lunda,0,SN,1561518981,81,-15.56,12.71,297.215,3.93
314,kasongo-lunda,90,US,1561518633,45,-156.47,20.89,304.15,3.6
315,kasongo-lunda,0,MR,1561518988,15,-13.05,20.52,306.515,8.33
316,kasongo-lunda,95,PE,1561518990,88,-78.59,-9.08,289.915,6.12
317,kasongo-lunda,90,CL,1561518992,93,-72.07,-45.58,276.15,1.0
318,kasongo-lunda,3,BR,1561518784,88,-41.05,-21.64,293.615,1.09
319,kasongo-lunda,88,RU,1561518997,86,51.28,58.41,283.615,1.76
320,kasongo-lunda,20,BR,1561518998,94,-34.84,-6.97,296.15,1.5
321,kasongo-lunda,75,CA,1561519001,82,-67.4,46.91,287.59,3.62
322,kasongo-lunda,0,IT,1561519003,73,12.91,43.91,295.37,1.5
323,kasongo-lunda,0,IR,1561519005,62,45.14,36.7,290.915,0.64
324,kasongo-lunda,98,PH,1561519010,76,124.66,9.24,302.015,6.29
325,kasongo-lunda,0,NA,1561519011,81,15.16,-26.65,282.15,1.0
326,kasongo-lunda,39,RU,1561519013,66,53.09,67.67,281.815,7.53
327,kasongo-lunda,5,CA,1561518959,87,-52.73,47.66,281.48,4.1
328,kasongo-lunda,75,JP,1561519016,94,127.67,26.12,299.15,7.2
329,kasongo-lunda,1,US,1561519018,88,-85.83,33.61,298.15,0.68
330,kasongo-lunda,0,FR,1561519019,73,6.97,43.56,300.15,1.0
331,kasongo-lunda,100,CN,1561519020,97,101.77,36.62,283.415,2.11
332,kasongo-lunda,22,ID,1561519022,62,112.95,-2.54,303.715,2.01
333,kasongo-lunda,95,RU,1561519023,72,47.92,63.37,283.815,1.28
334,kasongo-lunda,0,TR,1561519024,77,31.83,41.25,297.415,4.22
335,kasongo-lunda,38,SA,1561519025,61,37.27,25.02,303.615,4.91
336,kasongo-lunda,5,MX,1561519026,62,-97.07,15.86,302.15,2.6
337,kasongo-lunda,34,ID,1561519028,72,100.36,-0.92,301.215,1.97
338,kasongo-lunda,20,ES,1561519029,88,-1.13,38.18,296.15,2.1
339,kasongo-lunda,0,TZ,1561519030,76,39.77,-5.25,299.515,6.57
340,kasongo-lunda,75,BR,1561519032,81,-53.81,-29.69,282.15,1.5
341,kasongo-lunda,100,CN,1561519034,79,120.58,31.3,298.71,3.29
342,kasongo-lunda,0,TR,1561519037,67,43.37,38.51,288.15,1.5
343,kasongo-lunda,59,RU,1561519038,82,39.17,53.87,287.04,1.72
344,kasongo-lunda,20,PG,1561519039,78,147.27,-2.02,301.715,3.37
345,kasongo-lunda,75,MU,1561519041,83,57.76,-20.21,297.15,6.7
346,kasongo-lunda,75,CA,1561519044,54,-115.06,49.5,288.15,4.1
347,kasongo-lunda,16,SB,1561519046,75,159.59,-8.15,302.015,3.77
348,kasongo-lunda,0,BR,1561519047,56,-50.16,-13.28,293.815,0.6
349,kasongo-lunda,20,BB,1561519048,69,-59.52,13.22,301.15,8.2
350,kasongo-lunda,83,GF,1561519050,94,-52.33,4.94,298.15,1.67
351,kasongo-lunda,72,CA,1561519052,84,-103.53,51.65,287.515,2.08
352,kasongo-lunda,0,AR,1561518861,37,-67.58,-39.03,283.15,8.2
353,kasongo-lunda,7,CN,1561519055,47,123.32,52.87,294.915,4.25
354,kasongo-lunda,0,FR,1561519057,94,4.24,48.95,294.15,3.1
355,kasongo-lunda,0,PF,1561519058,79,-151.02,-16.7,299.515,6.26
356,kasongo-lunda,20,MA,1561519059,82,-7.99,31.63,292.15,3.6
357,kasongo-lunda,100,CD,1561519060,98,24.47,0.77,294.115,0.87
358,kasongo-lunda,9,ID,1561519062,72,121.65,-8.84,297.815,2.98
359,kasongo-lunda,100,IN,1561519064,95,96.16,27.93,297.015,1.13
360,kasongo-lunda,0,AR,1561519014,31,-66.86,-29.41,276.615,2.72
361,kasongo-lunda,75,CA,1561518632,41,-122.69,58.81,297.15,1.5
362,kasongo-lunda,69,AR,1561518646,43,-64.29,-36.62,279.915,4.71
363,kasongo-lunda,1,RU,1561519071,20,153.71,67.46,301.115,5.32
364,kasongo-lunda,59,MX,1561519073,86,-114.04,27.97,290.515,6.28
365,kasongo-lunda,0,AU,1561519074,39,146.27,-20.07,294.815,4.39
366,kasongo-lunda,100,RU,1561519076,96,179.32,63.05,279.215,6.48
367,kasongo-lunda,0,RU,1561519077,25,147.9,70.62,298.215,4.58
368,kasongo-lunda,0,ID,1561519078,58,119.9,-2.97,296.915,1.73
